                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     62,                 0.8121,                0.75187,                 1.2308,                 0.9388,                0.94109,                0.97326,                0.81799,                0.66224,                0.52253,                 1.0567,               0.003961,               0.003961,               0.003961
                     63,                 0.8092,                0.74507,                 1.2116,                0.93083,                0.92393,                0.96643,                0.81487,                0.65473,                0.51513,                 1.0371,               0.003862,               0.003862,               0.003862
                     64,                0.82283,                0.78652,                 1.2133,                0.93813,                0.93027,                0.97117,                0.80869,                  0.677,                0.53815,                  1.059,               0.003763,               0.003763,               0.003763
                     65,                0.78697,                 0.7316,                 1.1939,                0.96367,                0.92393,                0.97066,                0.81397,                0.66967,                0.51299,                 1.0654,               0.003664,               0.003664,               0.003664
                     66,                0.78295,                0.74348,                 1.2046,                0.93661,                0.89816,                0.96218,                0.79995,                0.69288,                0.57666,                 1.0736,               0.003565,               0.003565,               0.003565
                     67,                0.76643,                0.72554,                 1.1917,                0.87577,                0.83067,                0.92481,                0.74122,                 0.7552,                0.70241,                 1.1251,               0.003466,               0.003466,               0.003466
                     68,                 0.7893,                0.73339,                 1.2127,                0.91908,                0.87362,                0.94965,                0.75245,                 0.7791,                0.63244,                 1.1066,               0.003367,               0.003367,               0.003367
                     69,                0.77069,                0.74865,                  1.192,                0.91544,                0.93006,                0.96936,                0.81582,                0.63618,                0.53158,                 1.0446,               0.003268,               0.003268,               0.003268
                     70,                0.77155,                0.71352,                 1.1845,                 0.9464,                0.92393,                0.97758,                0.82079,                0.63323,                0.49249,                 1.0366,               0.003169,               0.003169,               0.003169
                     71,                0.71416,                0.67278,                 1.1592,                0.93392,                0.94356,                0.97536,                0.83301,                0.62536,                0.48269,                 1.0272,                0.00307,                0.00307,                0.00307
                     72,                0.73975,                0.68498,                  1.171,                0.94741,                0.92393,                0.97607,                0.82186,                0.63547,                0.49062,                 1.0243,               0.002971,               0.002971,               0.002971
                     73,                  0.741,                0.66854,                 1.1724,                0.95367,                0.92025,                0.97687,                 0.8329,                0.62796,                0.46974,                 1.0267,               0.002872,               0.002872,               0.002872
                     74,                0.75749,                0.70596,                 1.2058,                0.94386,                0.92393,                0.97799,                0.83919,                0.61433,                0.48114,                 1.0249,               0.002773,               0.002773,               0.002773
                     75,                0.76263,                0.68486,                 1.1933,                0.94532,                0.93341,                0.97816,                0.83869,                0.61665,                0.47966,                 1.0238,               0.002674,               0.002674,               0.002674
                     76,                0.73387,                0.68197,                 1.1754,                0.95658,                0.93865,                0.97676,                 0.8328,                0.61739,                0.47653,                 1.0359,               0.002575,               0.002575,               0.002575
                     77,                0.73406,                0.67929,                 1.1616,                0.95091,                0.92694,                0.97695,                 0.8392,                0.60907,                0.46704,                 1.0221,               0.002476,               0.002476,               0.002476
                     78,                0.71385,                0.64623,                 1.1658,                0.94208,                0.91796,                0.97498,                0.84794,                0.59459,                0.44675,                 1.0101,               0.002377,               0.002377,               0.002377
                     79,                0.72683,                0.66066,                 1.1619,                0.94042,                0.93988,                0.97738,                0.84733,                0.59279,                0.44936,                 1.0079,               0.002278,               0.002278,               0.002278
                     80,                0.71707,                0.65429,                  1.161,                  0.954,                0.94143,                0.97941,                0.85187,                0.58216,                0.43962,                   1.01,               0.002179,               0.002179,               0.002179
                     81,                0.73041,                0.67567,                 1.1676,                0.92742,                0.94724,                0.97709,                0.84485,                 0.5989,                0.47519,                 1.0136,                0.00208,                0.00208,                0.00208
                     82,                0.72422,                0.63996,                 1.1548,                0.94341,                0.94094,                  0.979,                0.84391,                 0.5919,                0.45071,                 1.0111,               0.001981,               0.001981,               0.001981
                     83,                0.70594,                0.63735,                  1.156,                0.93541,                0.89693,                0.97087,                0.82532,                0.62914,                0.50377,                 1.0423,               0.001882,               0.001882,               0.001882
                     84,                0.71355,                0.63295,                 1.1708,                0.94202,                0.93697,                0.98194,                 0.8486,                0.58867,                0.44627,                 1.0096,               0.001783,               0.001783,               0.001783
                     85,                0.69543,                0.65999,                 1.1557,                0.94067,                0.94969,                0.98184,                0.86348,                0.55189,                0.42644,                0.99587,               0.001684,               0.001684,               0.001684
                     86,                0.70683,                0.63448,                 1.1691,                0.94111,                 0.9362,                0.97988,                0.85573,                0.56232,                0.43489,                0.99352,               0.001585,               0.001585,               0.001585
                     87,                0.69676,                0.62801,                  1.164,                 0.9472,                0.93129,                 0.9806,                0.85442,                0.56944,                0.43036,                0.98992,               0.001486,               0.001486,               0.001486
                     88,                0.70479,                 0.6305,                 1.1599,                0.92846,                0.94724,                 0.9809,                0.85178,                0.56298,                0.42641,                0.99183,               0.001387,               0.001387,               0.001387
                     89,                0.68847,                0.63683,                 1.1342,                0.94871,                0.95215,                0.98449,                0.86094,                0.53934,                 0.4101,                0.99067,               0.001288,               0.001288,               0.001288
                     90,                0.67727,                0.59994,                 1.1382,                0.95959,                0.93497,                0.98356,                0.85752,                0.54319,                0.42315,                0.99343,               0.001189,               0.001189,               0.001189
                     91,                0.67705,                0.59368,                 1.1418,                0.95132,                0.93523,                0.98363,                0.86492,                0.53393,                0.41485,                0.99214,                0.00109,                0.00109,                0.00109
                     92,                0.67776,                0.60683,                  1.161,                  0.946,                0.94586,                 0.9837,                0.85613,                0.55285,                0.42693,                0.99798,               0.000991,               0.000991,               0.000991
                     93,                0.65171,                0.60213,                   1.13,                0.96288,                0.93374,                0.98368,                0.87021,                0.52589,                0.42096,                0.98748,               0.000892,               0.000892,               0.000892
                     94,                0.67417,                0.59377,                 1.1419,                0.94736,                 0.9546,                0.98411,                0.86922,                0.53192,                0.41412,                0.98158,               0.000793,               0.000793,               0.000793
                     95,                0.66794,                0.60826,                 1.1385,                0.95748,                0.94233,                0.98444,                0.87233,                0.52082,                0.40716,                0.97961,               0.000694,               0.000694,               0.000694
                     96,                0.67377,                0.60365,                 1.1326,                0.96107,                0.93901,                0.98474,                0.87036,                0.51965,                0.40912,                0.97873,               0.000595,               0.000595,               0.000595
                     97,                0.66773,                0.60285,                 1.1305,                0.95865,                0.93869,                0.98299,                0.87115,                0.52297,                0.40382,                0.97974,               0.000496,               0.000496,               0.000496
                     98,                0.63551,                0.58284,                 1.1218,                0.95276,                0.94031,                0.98308,                0.87437,                0.51665,                0.40165,                0.97725,               0.000397,               0.000397,               0.000397
                     99,                0.66712,                0.59638,                 1.1339,                0.95029,                0.94601,                0.98391,                0.87387,                0.51542,                0.39696,                0.97617,               0.000298,               0.000298,               0.000298
